"","date","date1","mon","weekday","mean_price","trade","mean_T","min_T","max_T","prec","max_ws","mean_ws","rh","light","prec1","pre.price"
"107",2014-08-23,2011-08-23,"08","토요일",15010,47,24.7599597585513,20.0249496981891,30.4861971830986,0,3.79195171026157,1.73979879275654,70.5403219315895,9.70957746478873,"0",16275
"108",2014-08-25,2011-08-25,"08","월요일",16469,80,24.5132394366197,20.4624144869215,29.7032193158954,1.10503018108652,2.31348088531187,0.851670020120724,79.7548893360161,0.600643863179074,"1",15010
"109",2014-08-26,2011-08-26,"08","화요일",16437,152,22.2017303822938,21.2464386317907,23.4972233400402,41.4287726358149,2.93162977867203,1.11987927565392,95.5787525150905,0,"2",16469
"110",2014-08-27,2011-08-27,"08","수요일",16559,153,24.6400804828974,21.3810865191147,31.003661971831,0.623138832997988,4.70599597585513,1.49529175050302,79.0822132796781,4.06736418511066,"1",16437
"111",2014-08-28,2011-08-28,"08","목요일",13014,139,21.5858350100604,18.0766197183099,24.4434607645875,0,3.16056338028169,1.53887323943662,77.3264788732394,0.785513078470825,"0",16559
"112",2014-08-29,2011-08-29,"08","금요일",15232,138,21.2652716297787,17.4967002012072,26.7681690140845,0,3.34961770623742,1.30321931589537,75.0948088531187,5.55183098591549,"0",13014
"113",2014-08-30,2011-08-30,"08","토요일",15839,137,20.5149295774648,16.4097384305835,26.4076861167002,0,3.96374245472837,1.51360160965795,78.0795171026157,5.27645875251509,"0",15232
"114",2014-09-01,2011-09-01,"09","월요일",20607,56,19.7603621730382,13.4603621730382,26.26953722334,0,2.95593561368209,1.12213279678068,76.269939637827,5.88969818913481,"0",15839
"115",2014-09-02,2011-09-02,"09","화요일",25068,88,20.839476861167,15.1925955734406,27.4043863179074,0,4.00120724346076,1.578953722334,75.0255533199195,8.67428571428571,"0",20607
"116",2014-09-03,2011-09-03,"09","수요일",21278,18,20.6727565392354,16.152152917505,25.6738832997988,6.43762575452716,3.76426559356137,1.59782696177062,81.1461971830986,1.07187122736419,"2",25068
"117",2014-09-04,2011-09-04,"09","목요일",17583,138,22.2014889336016,18.9875653923541,25.6063581488934,14.3983903420523,2.3261569416499,0.853199195171026,93.3858350100604,0.0115492957746479,"2",21278
"118",2014-09-05,2011-09-05,"09","금요일",16769,160,22.811106639839,17.9914688128773,28.4499798792757,0,4.19460764587525,1.86752515090543,74.2257947686117,8.03340040241449,"0",17583
"119",2014-09-06,2011-09-06,"09","토요일",15206,92,22.9244668008048,16.909416498994,31.2795975855131,0.018148893360161,3.05935613682093,1.17521126760563,72.7226559356137,10.2130784708249,"1",16769
"120",2014-09-12,2011-09-12,"09","금요일",7240,25,21.389939637827,15.9705030181087,28.0505030181087,0,3.81923541247485,1.45110663983903,72.834124748491,9.83118712273642,"0",15206
"121",2014-09-19,2011-09-19,"09","금요일",16531,16,19.1829778672032,14.6917907444668,24.386277665996,0,3.92321931589537,1.41786720321932,71.2585110663984,5.36575452716298,"0",7240
"122",2014-09-20,2011-09-20,"09","토요일",15920,25,16.3110663983903,11.1397987927565,24.3551710261569,0,3.17774647887324,0.870261569416499,77.9421730382294,5.02993963782696,"0",16531
"123",2014-09-22,2011-09-22,"09","월요일",16202,57,18.173199195171,10.4587927565392,26.9606841046278,0,3.19939637826962,1.04655935613682,69.8261569416499,10.4327967806841,"0",15920
"124",2014-09-23,2011-09-23,"09","화요일",15952,21,18.8413682092555,11.563138832998,27.5934406438632,0,4.54889336016097,1.43066398390342,73.6253118712274,9.33094567404427,"0",16202
"125",2014-09-24,2011-09-24,"09","수요일",17517,29,19.7396378269618,12.3289336016097,26.9423742454728,4.66519114688129,4.38474849094567,1.53110663983903,75.2154929577465,6.40692152917505,"2",15952
